DESCRIPTION,FAMILY_ID,Arabidopsis,Cacao,Peach,Castor bean,Cassava,Poplar,Rice,Brachypodium,Sorghum,Setaria,Banana,Loblolly pine,Sugar pine,Norway spruce,Douglas-fir,Moss
OG0000851,316,6,5,6,9,8,5,4,4,4,5,5,6,7,2,4,0
OG0000852,317,2,2,2,2,4,3,3,3,3,3,8,6,8,7,14,4
OG0000853,318,6,2,4,3,7,7,5,4,3,1,1,6,1,16,1,5
OG0000855,319,4,2,2,3,4,7,5,5,6,5,6,6,10,5,6,0
OG0000863,320,6,5,5,5,5,6,0,4,4,4,3,3,2,6,4,5
OG0000865,321,8,3,4,3,4,5,7,7,8,7,12,2,2,1,2,4
OG0000866,322,1,1,2,1,2,7,2,2,2,2,6,5,2,4,6,1
OG0000867,323,7,5,6,4,6,9,4,4,4,4,6,6,6,4,3,6
OG0000868,324,7,4,4,5,8,9,5,5,5,4,9,2,2,2,2,2
OG0000869,325,4,5,6,4,7,12,3,3,3,3,12,3,7,3,4,2
OG0000870,326,5,4,5,3,6,8,5,6,5,6,8,3,4,3,9,3
OG0000872,327,4,2,4,4,4,5,3,2,3,4,3,4,5,4,6,5
OG0000873,328,4,4,4,4,6,6,6,6,6,6,19,2,3,3,3,2
OG0000874,329,6,5,5,5,8,10,5,4,5,5,4,6,3,5,0,2
OG0000877,330,4,4,4,4,9,7,4,5,4,4,10,4,5,4,4,3
OG0000878,331,4,5,4,4,6,6,3,3,4,3,4,4,4,3,3,2
OG0000879,332,5,6,5,6,9,11,5,5,6,6,9,2,2,2,2,3
OG0000880,333,3,4,4,4,6,7,3,3,5,6,8,10,5,7,4,4
